id,name,score,zip_code,city,state
52372,Fuzzy's Taco Shop ,4.5,77035,Houston,TX
1711,Cold Stone Creamery ,4.6,53227,West Allis,WI
61300,Taco Cabana ,4.5,78660,Pflugerville,TX
11836,Dick's Primal Burger,4.7,97206,Portland,OR
29285,Uncle Tony's Pizza,4.6,05403,South Burlington,VT
30757,Greek Souvlaki ,4.6,84095,South Jordan,UT
52130,Potbelly Sandwich Shop ,4.8,77005,West University Place,TX
26487,Poke Dojo ,4.8,20814,Bethesda,MD
31497,Chipotle Mexican Grill ,4.2,84097,Orem,UT
53984,Sonic ,4.7,77386,Spring,TX
14422,Longhorn Barbecue ,4.4,99224,Spokane,WA
36286,Antojitos Tierra Caliente LLC ,4.5,75237,Dallas,TX
38969,Luna Grill - Colleyville,4.8,76034,Colleyville,TX
48956,Burger King ,4.3,75503,Texarkana,TX
46155,Macs &amp; Stacks ,4.6,77380,The Woodlands,TX
49791,BurgerFi ,4.2,78704,Austin,TX
24119,Coop &amp; Run ,4.6,23059,Glen Allen,VA
45290,Golden Chick ,4.6,76063,Mansfield,TX
39675,India Gate ,4,78759,Austin,TX
56789,CAVA ,4.6,75035,Dallas,TX
39974,MOOYAH Burgers ,4.5,78613,Austin,TX
26167,Checkers ,4.3,20109,Manassas,VA
1716,Yofresh Yogurt Cafe,4.1,53154,Oak Creek,WI
42877,Coco Shrimp - Alliance,4.9,76177,Fort Worth,TX
11115,Sushi Chiyo ,4.7,97212,Portland,OR
46134,Rib Tickler,4.8,77375,Tomball,TX
29329,Walgreens ,4.3,05403,South Burlington,VT
15421,Mirch Masala,4.6,98102,Seattle,WA
55618,La Gorda ,4.5,79935,El Paso,TX
27484,Moe's Southwest Grill ,4.2,20886,Montgomery Village,MD
49810,Little Beast Slider Co,4.4,78744,Austin,TX
42956,Super Smash Burgers,4.3,75050,Grand Prairie,TX
18914,Chick-fil-A  ,4.7,22150,Springfield,VA
27540,Sakura Steak Seafood &amp; Sushi ,4.4,20876,Germantown,MD
34941,Hootie's Bait &amp; Tackle ,4.3,78216,San Antonio,TX
39934,Sabor Colombia,4.3,78717-1011,Austin,TX
9995,Pho Star in Vancouver,4.8,98664,Vancouver,WA
57505,CVS ,4.6,75038,PHARR,TX
44863,Chipotle Mexican Grill ,4.6,79912,El Paso,TX
26535,Parthenon Restaurant,4.8,20015,Washington,DC
28790,CIRCA at Navy Yard,4.9,20003,Washington,DC
17633,Five Guys VA-0511 4210 East Claiborne Square,4.6,23666,Hampton,VA
38760,Los Compadres Cantina-,4.5,76262,Roanoke,TX
15517,McDonald's® ,4.5,98118-5502,SEATTLE,WA
60071,Wendy's  ,4.8,75080,RICHARDSON,TX
8553,Broadfork Cafe ,5,98105,Seattle,WA
15362,Indian Vegan Experiment,4.8,98102,Seattle,WA
23826,Jalapeño Mexican Grill,4.6,23221,Richmond,VA
13332,Bonchon Chicken ,4.8,98122,Seattle,WA
51361,Nirmanz Food Boutique,4.2,77479,Sugar Land,TX
15317,McMenamins Six Arms,4.7,98122,Seattle,WA
25033,Mezeh Mediterranean Grill ,4.7,23230,Henrico,VA
53157,Smoothie King ,4.8,77042,Houston,TX
44241,Taco Bell ,4.1,78224,San Antonio,TX
29891,June's Southern Table,4.8,84115,Salt Lake City,UT
58425,Promise Pizza,4.2,78664,Round Rock,TX
8542,Enat ethiopian restaurant,4.8,98125,Seattle,WA
35763,Shipley Donuts ,4.8,78201,San Antonio,TX
17484,Stir Fry Chinese Restaurant,4.7,23669,汉普顿,VA
21381,Thai Continental Cuisine,4.6,24011,Roanoke,VA
16200,Papa Murphy's ,4.7,98002,Auburn,WA
39093,Cream &amp; Crepes Cafe,4.5,76092,Southlake,TX
44263,Ike's Love &amp; Sandwiches ,4.9,78613,Cedar Park,TX
20956,CAVA ,4.7,20155,Gainesville,VA
55609,Chili's ,4.4,79936-5102,El Paso,TX
17434,KFC ,4.5,99205,Spokane,WA
45935,Yokohamaya Japanese Restaurant,4.9,77377,Tomball,TX
13721,Donatos Pizza ,4,98375,Puyallup,WA
41125,Budare’s Venezuelan Food,4.9,78756,Austin,TX
43566,Shipley Do-Nut ,4.8,77494,Fulshear,TX
23146,Robeks Fresh Juices &amp; Smoothies ,4.9,20166,Sterling,VA
59037,Taco Cabana ,4.5,76016,Arlington,TX
53914,Smoothie King ,4.9,77339,Kingwood,TX
47120,Dickey's Barbecue Pit  3320 Long Prairie Rd,4.7,75022,Flower Mound,TX
53114,summer shop ,3.4,77004,Houston,TX
19249,Takohachi,4.6,22204,Arlington,VA
27732,Wawa 688 ,4.7,22405,Fredericksburg,VA
41359,ARTIPASTA,4.7,78745,Austin,TX
25538,Yama Sushi Roll House ,5,23510,Norfolk,VA
16147,Pho Saigon Fusion 8,4.7,98506,Olympia,WA
58240,Emilio’s Mexican Kitchen,4.6,75231,Dallas,TX
40117,The Burger Den ,4.6,78704,Austin,TX
